1685	0	393
1686	1	1486
1686	2	1027
1687	1	1524
1687	0	1524
1687	2	1524
1687	2	1283
1688	2	1262
1688	1	94
1688	1	1262
1688	2	1589
1688	0	1589
1688	0	1262
1688	1	160
1689	3	541
1690	1	490
1632	4	1691
1632	4	1692
1632	5	1693
1632	4	1694
1632	4	1695
1632	4	1696
1632	4	1697
1632	6	1698
1632	7	1699
875	8	1700
875	8	1701
875	4	1702
875	5	1703
875	7	1699
875	4	1704
875	4	1705
875	6	1698
875	4	1706
875	8	1707
1708	0	1612
1708	2	1612
934	4	1709
934	4	1695
934	4	1704
934	4	1702
934	4	1710
934	9	1711
934	8	1707
934	7	1699
934	4	1712
934	4	1713
934	4	1714
934	4	1696
934	4	1715
934	4	1694
934	4	1716
934	6	1698
934	4	1717
934	6	1718
934	4	1719
1720	1	881
1720	1	8
1720	1	1666
1720	1	1293
1720	1	963
1720	1	632
1042	5	1721
1042	4	1694
1042	8	1722
1042	9	1723
1042	6	1698
1042	4	1724
1042	8	1725
1042	8	1726
1042	7	1699
1042	4	1727
1042	8	1728
1729	1	514
1729	1	235
1729	1	856
1730	0	388
666	4	1731
666	5	1703
666	4	1732
666	6	1698
666	7	1699
666	4	1704
1733	0	959
1733	0	185
1734	3	1397
1735	1	1600
1736	0	1285
1737	1	1631
1738	3	861
1739	3	1492
1740	1	1174
1741	3	416
1741	3	384
1742	3	838
1743	2	288
1743	0	288
1744	1	397
1744	1	1280
1745	1	1049
1746	0	428
1747	1	313
1748	1	16
1749	3	922
1750	1	784
1751	3	1173
1752	3	1643
1752	3	1588
488	6	1753
488	4	1694
488	8	1700
488	8	1754
488	8	1755
488	4	1702
488	4	1709
488	4	1756
488	4	1757
488	7	1699
488	4	1758
488	6	1759
488	6	1698
488	8	1760
488	5	1761
488	7	1762
1763	3	169
1764	1	575
1764	1	539
1765	0	605
1766	2	1410
1766	1	1410
132	4	1767
132	4	1704
132	5	1768
132	4	1769
132	6	1698
132	9	1770
132	7	1699
132	9	1771
1772	0	33
1772	0	379
1773	2	1310
46	7	1774
46	7	1699
46	9	1775
46	6	1759
46	6	1776
46	4	1731
46	6	1777
46	4	1702
46	8	1778
46	4	1694
46	5	1779
46	6	1698
1093	4	1780
1093	6	1753
1093	9	1781
1093	7	1782
1093	4	1694
1093	4	1704
1783	2	1585
1783	0	1097
1783	2	1097
1784	1	480
1785	0	616
1785	0	1578
1785	2	1578
1786	2	130
1786	1	130
1786	0	130
1787	3	71
1787	3	741
1787	3	232
1788	0	758
18	7	1699
18	4	1789
18	6	1790
18	10	1791
18	4	1702
18	5	1792
18	4	1704
18	4	1717
18	6	1793
475	6	1794
475	4	1795
475	4	1694
475	4	1712
475	5	1796
475	4	1797
475	4	1798
475	7	1699
475	4	1799
475	4	1800
1284	7	1801
1284	7	1699
1284	4	1712
1284	4	1802
1284	4	1717
1284	5	1803
1284	6	1698
470	4	1691
470	4	1696
470	4	1712
470	9	1804
470	4	1805
470	6	1698
470	4	1715
470	4	1806
470	4	1807
470	5	1808
470	5	1809
470	7	1699
470	4	1704
470	4	1798
470	4	1810
470	4	1811
1812	3	404
1812	3	710
1812	3	177
1812	3	229
1812	3	268
1812	3	134
1813	2	1232
455	4	1694
455	6	1698
455	4	1731
455	7	1699
455	4	1795
455	9	1814
455	5	1815
455	8	1816
455	8	1817
455	8	1700
455	10	1818
681	4	1702
681	7	1699
681	6	1698
681	4	1694
681	5	1819
1820	3	478
1821	0	435
1821	2	435
1822	2	373
1822	0	373
1823	3	1556
1824	1	486
1664	4	1825
1664	4	1731
1664	5	1826
1664	9	1827
1664	4	1694
1664	7	1828
1664	7	1699
1664	6	1698
1664	6	1794
1664	6	1718
1664	4	1789
1829	2	586
1829	1	586
1829	0	586
1829	3	586
1830	3	825
1830	3	175
1831	1	164
1831	1	271
1832	3	1468
1832	3	752
1833	3	1028
1834	1	329
1835	0	1577
1836	3	1221
1836	3	665
1837	0	873
1838	1	1125
1839	0	1681
1839	0	667
1023	4	1719
1023	4	1713
1023	4	1694
1023	4	1710
1023	4	1702
1023	4	1714
1023	4	1840
1023	5	1841
1023	6	1842
1023	7	1699
1843	0	876
1844	2	59
1845	3	632
1845	3	1523
732	9	1846
732	4	1731
732	4	1694
732	8	1847
732	6	1759
732	10	1848
732	7	1801
732	5	1849
732	10	1850
732	10	1851
732	4	1852
1853	0	548
1853	0	801
1853	0	283
1854	2	1049
1854	0	1049
1855	2	1485
1856	1	830
1856	1	1622
1856	1	417
1856	1	475
331	5	1857
331	4	1724
331	4	1702
331	4	1704
331	10	1848
331	4	1858
331	5	1859
331	7	1699
331	4	1717
331	6	1698
331	4	1860
331	4	1694
331	4	1709
331	4	1861
1862	3	1047
446	4	1732
446	7	1699
446	4	1704
446	4	1731
446	8	1863
446	6	1698
446	4	1795
446	5	1864
446	9	1865
446	4	1810
1866	3	1032
1866	2	1341
395	10	1848
395	9	1867
395	5	1868
395	4	1731
395	4	1719
395	4	1704
395	9	1869
395	4	1714
395	4	1694
395	4	1710
395	7	1699
395	4	1697
395	4	1702
395	4	1713
395	4	1732
395	6	1698
1870	2	853
1309	4	1871
1309	9	1872
1309	6	1698
1309	7	1699
1309	5	1873
1309	4	1874
1309	4	1732
1309	4	1875
1309	9	1876
1309	4	1704
1309	4	1731
1309	4	1694
1877	0	1034
1878	1	839
1878	1	889
287	4	1704
287	7	1699
287	4	1840
287	6	1759
287	5	1879
287	6	1698
287	4	1715
287	4	1880
1881	0	1017
1881	2	1017
1560	6	1698
1560	4	1882
1560	4	1769
1560	9	1771
1560	4	1758
1560	9	1883
1560	7	1699
1560	6	1842
1560	5	1884
1560	4	1885
1560	10	1886
1560	4	1887
1560	9	1770
1651	5	1888
1651	7	1699
1651	4	1712
1651	4	1798
1651	4	1709
1651	6	1698
1889	1	1108
1890	3	1042
1443	4	1713
1443	4	1710
1443	4	1695
1443	4	1891
1443	5	1892
1443	4	1875
1443	4	1697
1443	4	1704
1443	4	1714
1443	4	1719
1443	4	1694
1443	7	1699
1443	6	1698
1443	4	1731
1443	5	1893
1894	2	1061
1895	1	771
1896	0	232
1896	2	72
1897	3	1084
1897	3	125
1897	3	801
1898	1	47
1899	2	1129
1900	3	1396
1900	3	1276
1900	3	1449
1900	3	1545
1901	2	152
1902	1	143
1903	1	1040
1903	2	1040
1904	3	690
1905	3	137
1906	2	1282
1906	0	1282
1906	0	312
1906	2	312
1907	1	709
1907	1	1122
1907	1	999
1907	1	1324
1907	1	938
1907	1	110
1908	2	504
1908	3	504
1908	0	504
530	8	1909
530	10	1910
530	7	1699
